sku,websites,cost,price,msrp,special_price,special_from_date,special_to_date,tier_price,attribute_set_name,type_id
etrade9592,base,9.93,17.41,17.41,,,,,"Printer ribbon",simple
etrade9593,base,10.26,21.52,21.52,,,,,"Printer ribbon",simple
etrade9594,base,93.22,173.14,173.14,,,,,"Storage racks or shelves",simple
etrade9595,base,10000,10000,10000,,,,,"Storage racks or shelves",simple
etrade9596,base,53.60,99.57,99.57,,,,,"Storage racks or shelves",simple
etrade9597,base,69.64,129.36,129.36,,,,,"Storage racks or shelves",simple
etrade9598,base,123.24,228.93,228.93,,,,,"Storage racks or shelves",simple
etrade9599,base,15.38,36.80,36.80,,,,,"Binding coils or wire loops",simple
etrade9600,base,115.17,213.92,213.92,,,,,"Storage racks or shelves",simple
etrade9601,base,14.89,36.80,36.80,,,,,"Binding coils or wire loops",simple
etrade9602,base,16.79,39.05,39.05,,,,,"Binding coils or wire loops",simple
etrade9603,base,16.79,39.05,39.05,,,,,"Binding coils or wire loops",simple
etrade9604,base,7.50,22.31,22.31,,,,,"Binding coils or wire loops",simple
etrade9605,base,80.23,149.02,149.02,,,,,Tables,simple
etrade9606,base,9.99,22.31,22.31,,,,,"Binding coils or wire loops",simple
etrade9607,base,8.20,24.98,24.98,,,,,"Binding coils or wire loops",simple
etrade9608,base,8.20,24.98,24.98,,,,,"Binding coils or wire loops",simple
etrade9609,base,11.21,29.56,29.56,,,,,"Binding coils or wire loops",simple
etrade9610,base,10.49,29.56,29.56,,,,,"Binding coils or wire loops",simple
etrade9611,base,12.75,31.70,31.70,,,,,"Binding coils or wire loops",simple
etrade9612,base,12.75,31.70,31.70,,,,,"Binding coils or wire loops",simple
etrade9613,base,48.64,92.18,92.18,,,,,"Fountain pens",simple
etrade9614,base,34.34,70.23,70.23,,,,,"Ball point pens",simple
etrade9615,base,2.00,3.95,3.95,,,,,"Ballpoint pen ink refill",simple
etrade9616,base,0.68,2.63,2.63,,,,,"Ink refills",simple
etrade9617,base,0.68,2.63,2.63,,,,,"Ink refills",simple
etrade9618,base,2.65,5.70,5.70,,,,,"Fountain pen ink refill",simple
etrade9619,base,11.86,20.93,20.93,,,,,"Desktop calculator",simple
etrade9620,base,13.45,50.10,50.10,,,,,"Sales forms or sales books",simple
etrade9621,base,23.87,62.13,62.13,,,,,"Sales forms or sales books",simple
etrade9622,base,11.58,44.46,44.46,,,,,"Personnel forms or personnel books",simple
etrade9623,base,27.46,69.03,69.03,,,,,"Sales forms or sales books",simple
etrade9624,base,25.93,67.59,67.59,,,,,"Personnel forms or personnel books",simple
etrade9625,base,27.80,65.15,65.15,,,,,"Sales forms or sales books",simple
etrade9626,base,16.71,33.60,33.60,,,,,"Binding covers",simple
etrade9627,base,10.00,31.63,31.63,,,,,"Document holder",simple
etrade9628,base,10.00,31.63,31.63,,,,,"Document holder",simple
etrade9629,base,10.00,31.63,31.63,,,,,"Document holder",simple
etrade9630,base,5.04,11.67,11.67,,,,,"Binding spines or snaps",simple
etrade9631,base,4.04,14.96,14.96,,,,,"Binding spines or snaps",simple
etrade9632,base,5.98,14.96,14.96,,,,,"Binding spines or snaps",simple
etrade9633,base,5.98,14.96,14.96,,,,,"Binding spines or snaps",simple
etrade9634,base,5.69,14.96,14.96,,,,,"Binding spines or snaps",simple
etrade9635,base,2.99,7.48,7.48,,,,,"Business card holders",simple
etrade9636,base,152.20,293.63,293.63,,,,,Desks,simple
etrade9637,base,3.45,11.18,11.18,,,,,"Business card holders",simple
etrade9638,base,152.20,293.63,293.63,,,,,Desks,simple
etrade9639,base,6.16,11.75,11.75,,,,,"Alkaline batteries",simple
etrade9640,base,152.20,293.63,293.63,,,,,Desks,simple
etrade9641,base,152.20,293.63,293.63,,,,,Desks,simple
etrade9642,base,168.73,325.51,325.51,,,,,Desks,simple
etrade9643,base,168.73,325.51,325.51,,,,,Desks,simple
etrade9644,base,5.14,15.41,15.41,,,,,"Ring binder",simple
etrade9645,base,168.73,325.51,325.51,,,,,Desks,simple
etrade9646,base,168.73,325.51,325.51,,,,,Desks,simple
etrade9647,base,189.83,366.21,366.21,,,,,Desks,simple
etrade9648,base,194.39,375.00,375.00,,,,,Desks,simple
etrade9649,base,96.91,186.95,186.95,,,,,Desks,simple
etrade9650,base,189.83,366.21,366.21,,,,,Desks,simple
etrade9651,base,194.39,375.00,375.00,,,,,Desks,simple
etrade9652,base,96.91,186.95,186.95,,,,,Desks,simple
etrade9653,base,193.82,373.92,373.92,,,,,Desks,simple
etrade9654,base,198.39,382.71,382.71,,,,,Desks,simple
etrade9655,base,100.90,194.66,194.66,,,,,Desks,simple
etrade9656,base,193.82,373.92,373.92,,,,,Desks,simple
etrade9657,base,198.39,382.71,382.71,,,,,Desks,simple
etrade9658,base,100.90,194.66,194.66,,,,,Desks,simple
etrade9659,base,198.95,383.82,383.82,,,,,Desks,simple
etrade9660,base,203.52,392.61,392.61,,,,,Desks,simple
etrade9661,base,296.44,571.87,571.87,,,,,Desks,simple
etrade9662,base,106.04,204.56,204.56,,,,,Desks,simple
etrade9663,base,370.50,862.15,862.15,,,,,"Display systems or its accessories",simple
etrade9664,base,198.95,383.82,383.82,,,,,Desks,simple
etrade9665,base,203.52,392.61,392.61,,,,,Desks,simple
etrade9666,base,1621.29,2878.56,2878.56,,,,,Laminators,simple
etrade9667,base,296.44,571.87,571.87,,,,,Desks,simple
etrade9668,base,106.04,204.56,204.56,,,,,Desks,simple
etrade9669,base,205.79,397.01,397.01,,,,,Desks,simple
etrade9670,base,210.35,405.80,405.80,,,,,Desks,simple
etrade9671,base,303.27,585.06,585.06,,,,,Desks,simple
etrade9672,base,112.87,217.75,217.75,,,,,Desks,simple
etrade9673,base,5.48,41.29,41.29,,,,,"Laminator pouches",simple
etrade9674,base,205.79,397.01,397.01,,,,,Desks,simple
etrade9675,base,16.29,75.69,75.69,,,,,"Laminator pouches",simple
etrade9676,base,210.35,405.80,405.80,,,,,Desks,simple
etrade9677,base,348.07,802.19,802.19,,,,,"Paper punching or binding machines",simple
etrade9678,base,303.27,585.06,585.06,,,,,Desks,simple
etrade9679,base,112.87,217.75,217.75,,,,,Desks,simple
etrade9680,base,164.18,316.73,316.73,,,,,Desks,simple
etrade9681,base,164.18,316.73,316.73,,,,,Desks,simple
etrade9682,base,164.18,316.73,316.73,,,,,Desks,simple
etrade9683,base,164.18,316.73,316.73,,,,,Desks,simple
etrade9684,base,180.71,348.61,348.61,,,,,Desks,simple
etrade9685,base,180.71,348.61,348.61,,,,,Desks,simple
etrade9686,base,180.71,348.61,348.61,,,,,Desks,simple
etrade9687,base,180.71,348.61,348.61,,,,,Desks,simple
etrade9688,base,201.22,388.21,388.21,,,,,Desks,simple
etrade9689,base,205.79,397.00,397.00,,,,,Desks,simple
etrade9690,base,108.31,208.95,208.95,,,,,Desks,simple
etrade9691,base,201.22,388.21,388.21,,,,,Desks,simple
etrade9692,base,205.79,397.00,397.00,,,,,Desks,simple
etrade9693,base,108.31,208.95,208.95,,,,,Desks,simple
etrade9694,base,205.22,395.92,395.92,,,,,Desks,simple
etrade9695,base,209.79,404.71,404.71,,,,,Desks,simple
etrade9696,base,112.30,216.66,216.66,,,,,Desks,simple
etrade9697,base,97.21,223.57,223.57,,,,,"Bulletin boards or accessories",simple
etrade9698,base,205.22,395.92,395.92,,,,,Desks,simple
etrade9699,base,209.79,404.71,404.71,,,,,Desks,simple
etrade9700,base,112.30,216.66,216.66,,,,,Desks,simple
etrade9701,base,210.35,405.82,405.82,,,,,Desks,simple
etrade9702,base,214.92,414.61,414.61,,,,,Desks,simple
etrade9703,base,307.84,593.87,593.87,,,,,Desks,simple
etrade9704,base,117.43,226.56,226.56,,,,,Desks,simple
etrade9705,base,210.35,405.82,405.82,,,,,Desks,simple
etrade9706,base,214.92,414.61,414.61,,,,,Desks,simple
etrade9707,base,3.77,12.03,12.03,,,,,"Cleaning cloths or wipes",simple
etrade9708,base,307.84,593.87,593.87,,,,,Desks,simple
etrade9709,base,117.43,226.56,226.56,,,,,Desks,simple
etrade9710,base,217.19,419.01,419.01,,,,,Desks,simple
etrade9711,base,221.75,427.80,427.80,,,,,Desks,simple
etrade9712,base,314.67,607.06,607.06,,,,,Desks,simple
etrade9713,base,124.27,239.75,239.75,,,,,Desks,simple
etrade9714,base,217.19,419.01,419.01,,,,,Desks,simple
etrade9715,base,221.75,427.80,427.80,,,,,Desks,simple
etrade9716,base,314.67,607.06,607.06,,,,,Desks,simple
etrade9717,base,124.27,239.75,239.75,,,,,Desks,simple
etrade9718,base,146.50,282.64,282.64,,,,,Desks,simple
etrade9719,base,146.50,282.64,282.64,,,,,Desks,simple
etrade9720,base,146.50,282.64,282.64,,,,,Desks,simple
etrade9721,base,146.50,282.64,282.64,,,,,Desks,simple
etrade9722,base,163.03,314.52,314.52,,,,,Desks,simple
etrade9723,base,163.03,314.52,314.52,,,,,Desks,simple
etrade9724,base,163.03,314.52,314.52,,,,,Desks,simple
etrade9725,base,163.03,314.52,314.52,,,,,Desks,simple
etrade9726,base,90.63,174.85,174.85,,,,,Desks,simple
etrade9727,base,90.63,174.85,174.85,,,,,Desks,simple
etrade9728,base,94.62,182.56,182.56,,,,,Desks,simple
etrade9729,base,94.62,182.56,182.56,,,,,Desks,simple
etrade9730,base,99.75,192.46,192.46,,,,,Desks,simple
etrade9731,base,99.75,192.46,192.46,,,,,Desks,simple
etrade9732,base,106.59,205.65,205.65,,,,,Desks,simple
etrade9733,base,106.59,205.65,205.65,,,,,Desks,simple
etrade9734,base,119.14,229.84,229.84,,,,,Pedestals,simple
etrade9735,base,119.14,229.84,229.84,,,,,Pedestals,simple
etrade9736,base,119.14,229.84,229.84,,,,,Pedestals,simple
etrade9737,base,137.38,265.03,265.03,,,,,Pedestals,simple
etrade9738,base,137.38,265.03,265.03,,,,,Pedestals,simple
etrade9739,base,137.38,265.03,265.03,,,,,Pedestals,simple
etrade9740,base,97.48,188.05,188.05,,,,,Pedestals,simple
etrade9741,base,97.48,188.05,188.05,,,,,Pedestals,simple
etrade9742,base,97.48,188.05,188.05,,,,,Pedestals,simple
etrade9743,base,92.92,179.26,179.26,,,,,Pedestals,simple
etrade9744,base,92.92,179.26,179.26,,,,,Pedestals,simple
etrade9745,base,92.92,179.26,179.26,,,,,Pedestals,simple
etrade9746,base,97.48,188.05,188.05,,,,,Pedestals,simple
etrade9747,base,97.48,188.05,188.05,,,,,Pedestals,simple
