sku,category_ids
etrade65,"rt - office supplies|Postal Supplies|Mailroom & Warehouse|Vehicle Equipment/Supplies|Unspecified"
etrade68,"rt - office supplies|Postal Supplies|Books, Pads & Albums|Drawing Pads|A3"
etrade69,"rt - office supplies|Postal Supplies|Books, Pads & Albums|Drawing Pads|A4"
etrade70,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Card Index & Supplies|Card Index Storage"
etrade71,"rt - office supplies|Postal Supplies|Books, Pads & Albums|Business Card Books|Book"
etrade72,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Magenta"
etrade73,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Box Files|Foolscap (Legal) Size"
etrade74,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Box Files|A4 Size"
etrade75,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Yellow"
etrade76,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A4 Size"
etrade77,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A4 Size"
etrade78,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A4 Size"
etrade79,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
etrade80,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
etrade81,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
etrade82,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A4 Size"
etrade83,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
etrade84,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A4 Size"
etrade85,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A4 Size"
etrade86,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
etrade87,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
